R,X,Y,x_roon,y_roon,x_pt,y_pt
45,3,1,"29,3508","46,8737","32,3508","47,8737"
45,3,3,"29,3508","46,8737","32,3508","49,8737"
45,3,5,"29,3508","46,8737","32,3508","51,8737"
45,5,1,"29,3508","46,8737","34,3508","47,8737"
45,5,3,"29,3508","46,8737","34,3508","49,8737"
45,5,5,"29,3508","46,8737","34,3508","51,8737"
45,7,1,"29,3508","46,8737","36,3508","47,8737"
45,7,3,"29,3508","46,8737","36,3508","49,8737"
45,7,5,"29,3508","46,8737","36,3508","51,8737"
46,1,1,"13,1767","46,8737","14,1767","47,8737"
46,1,3,"13,1767","46,8737","14,1767","49,8737"
46,1,5,"13,1767","46,8737","14,1767","51,8737"
46,3,1,"13,1767","46,8737","16,1767","47,8737"
46,3,3,"13,1767","46,8737","16,1767","49,8737"
46,3,5,"13,1767","46,8737","16,1767","51,8737"
46,5,1,"13,1767","46,8737","18,1767","47,8737"
46,5,3,"13,1767","46,8737","18,1767","49,8737"
46,5,5,"13,1767","46,8737","18,1767","51,8737"
46,7,1,"13,1767","46,8737","20,1767","47,8737"
46,7,3,"13,1767","46,8737","20,1767","49,8737"
46,7,5,"13,1767","46,8737","20,1767","51,8737"
47,1,1,"36,0308","55,4183","37,0308","56,4183"
47,1,3,"36,0308","55,4183","37,0308","58,4183"
47,1,5,"36,0308","55,4183","37,0308","60,4183"
47,3,1,"36,0308","55,4183","39,0308","56,4183"
47,3,3,"36,0308","55,4183","39,0308","58,4183"
47,3,5,"36,0308","55,4183","39,0308","60,4183"
47,5,1,"36,0308","55,4183","41,0308","56,4183"
47,5,3,"36,0308","55,4183","41,0308","58,4183"
47,5,5,"36,0308","55,4183","41,0308","60,4183"
47,7,1,"36,0308","55,4183","43,0308","56,4183"
47,7,3,"36,0308","55,4183","43,0308","58,4183"
47,7,5,"36,0308","55,4183","43,0308","60,4183"
49,1,1,"7,40028","32,3108","8,40028","33,3108"
49,1,3,"7,40028","32,3108","8,40028","35,3108"
49,1,4,"7,40028","32,3108","8,40028","36,3108"
49,3,1,"7,40028","32,3108","10,40028","33,3108"
49,3,3,"7,40028","32,3108","10,40028","35,3108"
49,3,4,"7,40028","32,3108","10,40028","36,3108"
49,5,1,"7,40028","32,3108","12,40028","33,3108"
49,5,3,"7,40028","32,3108","12,40028","35,3108"
